harbor_name,geometry
Hou Lystbaadehavn,0103000020E610000001000000060000005930F14751BF2440EDEF6C8FDE864C405930F14751BF244096D05D1267874C40A01A2FDD24C6244096D05D1267874C40A01A2FDD24C62440EDEF6C8FDE864C40035C902DCBBF2440EDEF6C8FDE864C405930F14751BF2440EDEF6C8FDE864C40
Egense Lystbådehavn,0103000020E61000000100000006000000D4D51D8B6D9A2440A9177C9A937D4C40D4D51D8B6D9A2440E76ED74B537E4C408A75AA7CCFA02440E76ED74B537E4C408A75AA7CCFA02440A9177C9A937D4C405C3CBCE7C09A2440A9177C9A937D4C40D4D51D8B6D9A2440A9177C9A937D4C40
Hals Havn,0103000020E61000000100000006000000B6BFB33D7A9B24405839B4C8767E4C40B6BFB33D7A9B2440DDB1D826157F4C40A7CF0EB8AEA02440DDB1D826157F4C40A7CF0EB8AEA024405839B4C8767E4C40E0826C59BE9E24405839B4C8767E4C40B6BFB33D7A9B24405839B4C8767E4C40
Øster Hurup Havn,0103000020E610000001000000060000000778D2C2658D24401766A19DD3664C400778D2C2658D244097E13FDD40674C40BFD364C6DB92244097E13FDD40674C40BFD364C6DB9224401766A19DD3664C4015014EEFE28D24401766A19DD3664C400778D2C2658D24401766A19DD3664C40
Hadsund Fiskerihavn,0103000020E610000001000000060000008FC2F5285C3F2440BABC395CAB5B4C408FC2F5285C3F2440A4703D0AD75B4C40FBB2B45373412440A4703D0AD75B4C40FBB2B45373412440BABC395CAB5B4C404B5AF10D853F2440BABC395CAB5B4C408FC2F5285C3F2440BABC395CAB5B4C40
Hadsund Lystbådehavn,0103000020E61000000100000006000000A0DFF76F5E3424402DB29DEFA75A4C40A0DFF76F5E342440ECDE8AC4045B4C40693BA6EECA362440ECDE8AC4045B4C40693BA6EECA3624402DB29DEFA75A4C4077F35487DC3424402DB29DEFA75A4C40A0DFF76F5E3424402DB29DEFA75A4C40
Hadsund Havn,0103000020E61000000100000006000000452E3883BF372440BFB51325215B4C40452E3883BF372440E4839ECDAA5B4C40D4BA0D6ABF3D2440E4839ECDAA5B4C40D4BA0D6ABF3D2440BFB51325215B4C400B7A6F0C01382440BFB51325215B4C40452E3883BF372440BFB51325215B4C40
Kongsdal Lystbådehavn,0103000020E61000000100000006000000666666666626244089B48D3F51574C4088635DDC4623244089B48D3F51574C4088635DDC46232440C11BD2A8C0574C406666666666262440C11BD2A8C0574C406666666666262440747973B856574C40666666666626244089B48D3F51574C40
Kongsdal,0103000020E610000001000000060000001002F2255418244048E17A14AE574C401002F22554182440C5AD8218E8584C4050FC1873D7222440C5AD8218E8584C4050FC1873D722244048E17A14AE574C40A12FBDFDB918244048E17A14AE574C401002F2255418244048E17A14AE574C40
Akzo Nobel Salt A/S Anlægskaj,0103000020E61000000100000006000000723447567E112440D7A3703D0A574C40723447567E1124405EBEF561BD574C40DBF97E6ABC1424405EBEF561BD574C40DBF97E6ABC142440D7A3703D0A574C4017F549EEB0112440D7A3703D0A574C40723447567E112440D7A3703D0A574C40
Vive Havn,0103000020E61000000100000006000000BC74931804162440E8887C9752594C40BC74931804162440AED4B32094594C407E737FF5B8172440AED4B32094594C407E737FF5B8172440E8887C9752594C40C59272F739162440E8887C9752594C40BC74931804162440E8887C9752594C40
Hobro Lystbådehavn,0103000020E610000001000000060000008ECBB8A9819E2340E6CC76853E524C408ECBB8A9819E2340FBE93F6B7E524C401D041DAD6AA12340FBE93F6B7E524C401D041DAD6AA12340E6CC76853E524C402CB7B41A129F2340E6CC76853E524C408ECBB8A9819E2340E6CC76853E524C40
